City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wladyslawowo,54.7909,18.4009,11.75,81,1,3.29,PL,1686003420
1,laojunmiao,39.8333,97.7333,11.23,49,4,1.31,CN,1686003595
2,port mathurin,-19.6833,63.4167,24.59,74,10,9.82,MU,1686003099
3,waitangi,-43.9535,-176.5597,10.46,84,100,0.45,NZ,1686003098
4,rogozno,52.7523,16.9905,16.12,65,100,3.4,PL,1686003596
5,albany,42.6001,-73.9662,21.43,45,100,3.07,US,1686003101
6,hamilton,39.1834,-84.5333,27.92,33,0,5.14,US,1686002973
7,vilyuchinsk,52.9306,158.4028,9.03,92,100,1.36,RU,1686003104
8,puerto baquerizo moreno,-0.9,-89.6,27.55,78,40,5.14,EC,1686003596
9,elmina,5.0898,-1.348,26.22,85,100,4.11,GH,1686003596
10,hithadhoo,-0.6,73.0833,27.9,75,96,1.72,MV,1686003109
11,tarauaca,-8.1614,-70.7656,25.11,93,19,0.78,BR,1686003110
12,salaqi,40.5414,110.5108,17.64,39,2,1.37,CN,1686003596
13,magog,45.2668,-72.1491,21.24,34,100,2.06,CA,1686003596
14,prado,-17.3411,-39.2208,22.08,73,4,2.74,BR,1686003134
15,edinburgh of the seven seas,-37.0676,-12.3116,12.27,80,100,11.92,SH,1686003110
16,papatowai,-46.5619,169.4708,7.37,78,22,1.76,NZ,1686003099
17,novyy urgal,51.0736,132.5642,12.51,81,37,1.17,RU,1686003597
18,port elizabeth,-33.918,25.5701,9.16,81,0,1.54,ZA,1686003101
19,axim,4.8699,-2.2405,25.98,87,98,3.23,GH,1686003597
20,longyearbyen,78.2186,15.6401,2.91,70,20,6.17,SJ,1686003131
21,lihue,21.9789,-159.3672,27.58,69,0,3.6,US,1686003122
22,blackmans bay,-43.0167,147.3167,7.51,88,85,4.44,AU,1686003104
23,saipan,15.1355,145.701,28.39,100,0,8.23,MP,1686003111
24,port-aux-francais,-49.35,70.2167,3.29,65,46,17.18,TF,1686003099
25,pangody,65.85,74.4859,10.9,89,20,6.88,RU,1686003597
26,iqaluit,63.7506,-68.5145,2.85,75,75,1.79,CA,1686003102
27,taro,-8.3862,115.28,22.0,95,66,0.72,ID,1686003597
28,rongelap,11.1635,166.8941,27.75,80,75,7.08,MH,1686003598
29,kurlovo,55.4325,40.4854,7.82,95,7,1.75,RU,1686003598
30,suva,-18.1416,178.4415,23.71,94,75,1.03,FJ,1686003598
31,koraput,18.8167,82.7167,26.04,47,100,1.34,IN,1686003598
32,kolonia,50.9333,6.95,19.36,54,0,0.51,DE,1686002953
33,ribeira grande,38.5167,-28.7,18.21,91,100,5.36,PT,1686003113
34,tolanaro,-25.0319,46.9987,20.11,90,0,4.18,MG,1686003126
35,talnakh,69.4865,88.3972,8.45,67,100,4.1,RU,1686003131
36,tarinkot,32.6268,65.8733,23.12,20,0,1.14,AF,1686003598
37,saldanha,-33.0117,17.9442,7.03,66,13,2.65,ZA,1686003123
38,coyhaique,-45.5752,-72.0662,7.97,76,75,4.12,CL,1686003598
39,jijiga,9.35,42.8,18.63,79,53,2.79,ET,1686003598
40,santa maria,-29.6842,-53.8069,17.02,89,94,2.27,BR,1686003599
41,port douglas,-16.4833,145.4667,23.28,87,55,5.61,AU,1686003599
42,adamstown,-25.066,-130.1015,20.71,59,70,9.25,PN,1686003098
43,newman,37.3138,-121.0208,31.8,25,81,2.67,US,1686003139
44,aasiaat,68.7098,-52.8699,-0.27,79,93,4.92,GL,1686003114
45,northam,51.0333,-4.2167,13.67,74,0,3.23,GB,1686003124
46,imbituba,-28.24,-48.6703,18.75,83,84,4.48,BR,1686003123
47,kristinestad,62.2743,21.376,7.28,72,77,4.37,FI,1686003599
48,awjilah,29.1081,21.2869,31.36,23,89,11.9,LY,1686003599
49,antalaha,-14.9003,50.2788,22.84,83,57,3.34,MG,1686003153
50,iskateley,67.6803,53.1512,4.25,75,99,10.67,RU,1686003105
51,bethel,41.3712,-73.414,23.05,48,40,2.57,US,1686003098
52,obudu,6.6674,9.1716,23.71,94,100,2.58,NG,1686003600
53,grytviken,-54.2811,-36.5092,2.39,96,100,2.13,GS,1686003099
54,cluses,46.0625,6.575,17.44,83,1,1.94,FR,1686003600
55,kodiak,57.79,-152.4072,6.73,100,100,9.77,US,1686003107
56,mwinilunga,-11.7358,24.4293,18.89,42,85,1.68,ZM,1686003600
57,ushuaia,-54.8,-68.3,2.81,87,0,2.06,AR,1686003047
58,mil'kovo,55.6078,37.7956,9.73,83,18,2.47,RU,1686003600
59,thompson,55.7435,-97.8558,25.09,57,75,2.06,CA,1686003109
60,saint-martin-des-champs,48.5833,-3.8333,13.77,92,1,5.15,FR,1686003600
61,peterhead,57.5058,-1.7981,10.22,80,11,2.36,GB,1686003600
62,suez,29.9737,32.5263,20.15,64,2,4.53,EG,1686003601
63,punta arenas,-53.15,-70.9167,3.06,93,0,3.6,CL,1686002971
64,chom thong,18.4174,98.6743,27.14,92,100,1.03,TH,1686003601
65,sinabang,2.4803,96.3801,26.38,81,100,0.59,ID,1686003117
66,west island,-12.1568,96.8225,24.99,88,75,5.14,CC,1686003109
67,margaret river,-33.95,115.0667,10.5,72,100,8.88,AU,1686003114
